Lx_bin_size,L6_bin_size,Frac_of_IR_IDby_Xray_L6,Frac_of_Xray_IDby_IR_Lx,Frac_of_Xray_IDby_IR_L6
42.000000,42.000000,0.000000,nan,0.000000
42.250000,42.250000,0.000000,nan,0.000000
42.500000,42.500000,0.000000,nan,0.000000
42.750000,42.750000,0.111111,nan,0.018519
43.000000,43.000000,0.000000,0.048889,0.000000
43.250000,43.250000,0.166667,0.130031,0.013158
43.500000,43.500000,0.318182,0.177650,0.031390
43.750000,43.750000,0.407407,0.248619,0.078571
44.000000,44.000000,0.508197,0.277612,0.107639
44.250000,44.250000,0.694915,0.434505,0.273333
44.500000,44.500000,0.664865,0.538095,0.412752
44.750000,44.750000,0.604167,0.688679,0.500000
45.000000,45.000000,0.698925,0.666667,0.706522
45.250000,45.250000,0.735294,0.650000,0.833333
45.500000,45.500000,0.793651,0.181818,0.892857
45.750000,45.750000,0.807692,0.000000,0.913043
46.000000,46.000000,0.777778,nan,1.000000
46.250000,46.250000,0.750000,nan,1.000000
46.500000,46.500000,0.500000,nan,1.000000
46.750000,46.750000,0.000000,nan,nan
47.000000,47.000000,nan,nan,nan
47.250000,47.250000,nan,nan,nan
47.500000,47.500000,nan,nan,nan
47.750000,47.750000,nan,nan,nan
48.000000,48.000000,nan,nan,nan
48.250000,48.250000,nan,nan,nan
48.500000,48.500000,nan,nan,nan
48.750000,48.750000,nan,nan,nan
49.000000,49.000000,nan,nan,nan
49.250000,49.250000,nan,nan,nan
49.500000,49.500000,nan,nan,nan
